PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2010,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2011,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2012,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2013,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2014,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2015,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2016,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2017,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2018,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2019,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2020,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2021,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2022,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2023,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2024,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2025,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2026,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2027,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2028,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2029,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2030,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2031,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2032,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2033,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2034,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2035,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2036,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2037,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2038,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2039,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2040,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2041,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2042,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2043,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2044,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2045,,,,,,0.0
CapitalCost,PLANDEACCION,ECU,INORG_RCY_OS,,,,2046,,,,,,0.0
