PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2010,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2011,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2012,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2013,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2014,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2015,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2016,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2017,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2018,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2019,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2020,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2021,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2022,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2023,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2024,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2025,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2026,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2027,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2028,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2029,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2030,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2031,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2032,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2033,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2034,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2035,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2036,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2037,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2038,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2039,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2040,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2041,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2042,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2043,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2044,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2045,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2046,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2047,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2048,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2049,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2050,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2051,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2052,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2053,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2054,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2055,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2056,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2057,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2058,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2059,,,,,,
AvailabilityFactor,DDP70,ECU,ENE_TERM,,,,2060,,,,,,
