PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Yearsplit,PLANDEACCION,,,,,,2010,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2011,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2012,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2013,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2014,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2015,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2016,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2017,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2018,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2019,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2020,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2021,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2022,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2023,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2024,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2025,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2026,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2027,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2028,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2029,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2030,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2031,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2032,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2033,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2034,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2035,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2036,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2037,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2038,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2039,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2040,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2041,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2042,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2043,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2044,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2045,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2046,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2047,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2048,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2049,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2050,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2051,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2052,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2053,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2054,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2055,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2056,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2057,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2058,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2059,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2060,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2061,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2062,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2063,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2064,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2065,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2066,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2067,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2068,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2069,All,,,,,1
Yearsplit,PLANDEACCION,,,,,,2070,All,,,,,1
